Time, ID, Data
1277894,4394000,00000094
1277910,6214000,2C00400000340B00
1277920,18DA60F1,0322100000000000
1277926,4214001,0100808902DF1700
1277930,18DAF160,056210000B80
1277935,6284000,0000000000000000
1277938,4294001,0000000000000180
1277940,421400B,00863E0400000000
1277950,A3D4003,2CA51002D0000000
1277953,4214006,0000000000000000
1277970,6254000,80FFFF00FFFFFF00
1277975,4394100,7EB7EA0003FE0000
1277977,4214001,0100808902DF1700
1277987,4294001,0000000000000180
1277994,4394000,00000094
1277997,621401A,0005010000000000
1278020,18DA60F1,0322100000000000
1278026,4214001,0100808902E61700
1278030,18DAF160,056210000B80
1278037,4294001,0000000000000180
1278040,421400B,00863E0400000000
1278042,6314000,0000000000000000
1278050,A354003,2CA51002D0000000
1278053,4214006,0000000000000000
1278074,4394100,7EA7E90003FE8000
1278077,4214001,0100808902E61700
1278087,4294001,0000000000000180
1278094,4394000,00000094
1278096,2214000,006800000000
1278121,18DA60F1,0322100000000000
1278127,4214001,0100808902E61700
1278130,18DAF160,056210000B80
1278137,4294001,0000000000000180
1278140,421400B,00863E0400000000
1278142,6264000,071EB37FC01A1B00
1278150,A194003,0000400000000000
1278153,4214006,0000000000000000
1278155,621400A,0000
1278159,6214000,2C00400000340B00
1278174,4394100,7EA7EA0003FE0000
1278177,4214001,0100808902ED1700
1278187,4294001,0000000000000180
1278190,63D4000,595B00000BC00000
1278194,4394000,00000094
1278219,6254000,80FFFF00FFFFFF00
1278222,18DA60F1,0322100000000000
1278227,4214001,0100808902ED1700
1278230,18DAF160,056210000B80
1278237,4294001,0000000000000180
1278240,421400B,00863E0400000000
1278246,621401A,0005010000000000
1278250,C394003,C202000008016000
1278253,4214006,0000000000000000
1278274,4394100,7EB7EA0003FE0000
1278277,4214001,0100808902ED1700
1278287,4294001,0000000000000180
1278290,6314000,0000000000000000
1278294,4394000,00000094
1278306,E094000,001E04401C4B
1278309,E094003,000E
1278313,E09400A,000E
1278317,E094020,000A
1278320,18DA60F1,0322100000000000
1278325,E09401A,000E
1278327,4214001,0100808902E61700
1278330,18DAF160,056210000B80
1278337,4294001,0000000000000180
1278340,421400B,00863E0400000000
1278344,2214000,006800000000
1278350,6314003,2010300000000000
1278353,4214006,0000000000000000
1278369,6314020,18000098
1278374,4394100,7EA7EA0003FE0000
1278377,4214001,0100808902E61700
1278387,4294001,0000000000000180
1278394,4394000,00000094
1278409,6214000,2C00400000340B00
1278420,18DA60F1,0322100000000000
1278427,4214001,0100808902E61700
1278430,18DAF160,056210000B80
1278435,6284000,0000000000000000
1278438,4294001,0000000000000180
1278440,421400B,00863E0400000000
1278453,4214006,0000000000000000
1278470,6254000,80FFFF00FFFFFF00
1278475,4394100,7EA7E90003FE0000
1278477,4214001,0100808902E61700
1278485,2294000,0000000000000000
1278488,4294001,0000000000000180
1278494,4394000,00000094
1278497,621401A,0005010000000000
1278520,18DA60F1,0322100000000000
1278527,4214001,0100808902E61700
1278530,18DAF160,056210000B80
1278537,4294001,0000000000000180
1278540,421400B,00863E0400000000
1278543,6314000,0000000000000000
1278553,4214006,0000000000000000
1278574,4394100,7EB7EA0003FE0000
1278577,4214001,0100808902E61700
1278587,4294001,0000000000000180
1278594,4394000,00000094
1278596,2214000,006800000000
1278622,18DA60F1,0322100000000000
1278627,4214001,0100808902E61700
1278630,18DAF160,056210000B80
1278637,4294001,0000000000000180
1278640,421400B,00863E0400000000
1278642,6264000,071EB37FC01A1B00
1278650,C214003,133901012013
1278653,4214006,0000000000000000
1278655,621400A,0000
1278659,6214000,2C00400000340B00
1278674,4394100,7EA7EA0003FE0000
1278677,4214001,0100808902E61700
1278687,4294001,0000000000000180
1278690,63D4000,595B00000BC00000
1278694,4394000,00000094
1278719,6254000,80FFFF00FFFFFF00
1278722,18DA60F1,0322100000000000
1278727,4214001,0100808902E61700
1278730,18DAF160,056210000B80
1278737,4294001,0000000000000180
1278740,421400B,00863E0400000000
1278745,621401A,0005010000000000
1278750,C054003,0471CAE188CC0000
1278753,4214006,0000000000000000
1278774,4394100,7EA7EA0003FE0000
1278777,4214001,0100808902E61700
1278787,4294001,0000000000000180
1278790,6314000,0000000000000000
1278794,4394000,00000094
1278820,18DA60F1,0322100000000000
1278827,4214001,0100808902ED1800
1278830,18DAF160,056210000C00
1278837,4294001,0000000000000180
1278840,421400B,00863E0400000000
1278842,18DA40F1,03220131
1278844,2214000,006800000000
1278846,18DAF140,0462013114
1278850,6314003,2010300000000000
1278853,4214006,0000000000000000
1278875,4394100,7EB7EA0003FE0000
1278877,4214001,0100808902ED1700
1278887,4294001,0000000000000180
1278894,4394000,00000094
1278910,6214000,2C00400000340B00
1278921,18DA60F1,0322100000000000
1278927,4214001,0100808902ED1700
1278930,18DAF160,056210000B80
1278935,6284000,0000000000000000
1278938,4294001,0000000000000180
1278940,421400B,00863E0400000000
1278950,A3D4003,2CA51002D0000000
1278953,4214006,0000000000000000
1278969,6254000,80FFFF00FFFFFF00
1278974,4394100,7ED7EA0003FE0000
1278977,4214001,0100808902DF1700
1278987,4294001,0000000000000180
1278994,4394000,00000094
1278997,621401A,0005010000000000
1279020,18DA60F1,0322100000000000
1279027,4214001,0100808902DF1700
1279030,18DAF160,056210000B80
1279037,4294001,0000000000000180
1279040,421400B,00863E0400000000
1279043,6314000,0000000000000000
1279050,A354003,2CA51002D0000000
1279053,4214006,0000000000000000
1279074,4394100,7E97EA0003FE0000
1279077,4214001,0100808902DF1700
1279087,4294001,0000000000000180
1279094,4394000,00000094
1279096,2214000,006800000000
1279120,18DA60F1,0322100000000000
1279127,4214001,0100808902DB1700
1279130,18DAF160,056210000B80
1279137,4294001,0000000000000180
1279140,421400B,00863E0400000000
1279143,6264000,071EB37FD0191B00
1279150,A194003,0000400000000000
1279153,4214006,0000000000000000
1279155,621400A,0000
1279159,6214000,2C00400000340B00
1279174,4394100,7EB7EA0003FE0000
1279177,4214001,0100808902DB1700
1279187,4294001,0000000000000180
1279190,63D4000,595B00000BC00000
1279194,4394000,00000094
1279219,6254000,80FFFF00FFFFFF00
1279222,18DA60F1,0322100000000000
1279227,4214001,0100808902DB1700
1279230,18DAF160,056210000B80
1279237,4294001,0000000000000180
1279240,421400B,00863E0400000000
1279246,621401A,0005010000000000
1279250,C394003,C202000008016000
1279253,4214006,0000000000000000
1279274,4394100,7EA7EA0003FE0000
1279277,4214001,0100808902D41700
1279287,4294001,0000000000000180
1279290,6314000,0000000000000000
1279294,4394000,00000094
1279306,E094000,001E04401C4B
1279309,E094003,000E
1279313,E09400A,000E
1279317,E094020,000A
1279320,18DA60F1,0322100000000000
1279325,E09401A,000E
1279327,4214001,0100808902D41700
1279330,18DAF160,056210000B80
1279337,4294001,0000000000000180
